edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.549356675Z level=info msg="Migration successfully executed" id="Update folder title length" duration=19.083µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.550021716Z level=info msg="Executing migration" id="Add unique index for folder.title and folder.parent_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.550347425Z level=info msg="Migration successfully executed" id="Add unique index for folder.title and folder.parent_uid" duration=325.875µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.551035966Z level=info msg="Executing migration" id="Remove unique index for folder.title and folder.parent_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.551364716Z level=info msg="Migration successfully executed" id="Remove unique index for folder.title and folder.parent_uid" duration=328.958µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.552003591Z level=info msg="Executing migration" id="Add unique index for title, parent_uid, and org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.55233105Z level=info msg="Migration successfully executed" id="Add unique index for title, parent_uid, and org_id" duration=327.5µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.552944425Z level=info msg="Executing migration" id="Sync dashboard and folder table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.553047716Z level=info msg="Migration successfully executed" id="Sync dashboard and folder table" duration=103.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.553637383Z level=info msg="Executing migration" id="Remove ghost folders from the folder table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5537003Z level=info msg="Migration successfully executed" id="Remove ghost folders from the folder table" duration=63.084µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.554143175Z level=info msg="Executing migration" id="Remove unique index UQE_folder_uid_org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.55441955Z level=info msg="Migration successfully executed" id="Remove unique index UQE_folder_uid_org_id" duration=277.084µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.555033925Z level=info msg="Executing migration" id="Add unique index UQE_folder_org_id_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.555332091Z level=info msg="Migration successfully executed" id="Add unique index UQE_folder_org_id_uid" duration=298.042µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.55596555Z level=info msg="Executing migration" id="Remove unique index UQE_folder_title_parent_uid_org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.556269591Z level=info msg="Migration successfully executed" id="Remove unique index UQE_folder_title_parent_uid_org_id" duration=304.417µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.556963425Z level=info msg="Executing migration" id="Add unique index UQE_folder_org_id_parent_uid_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5572823Z level=info msg="Migration successfully executed" id="Add unique index UQE_folder_org_id_parent_uid_title" duration=319.042µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.557918883Z level=info msg="Executing migration" id="Remove index IDX_folder_parent_uid_org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.558208133Z level=info msg="Migration successfully executed" id="Remove index IDX_folder_parent_uid_org_id" duration=289.5µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.558886633Z level=info msg="Executing migration" id="create anon_device table"
