edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.065320256Z level=info msg="Executing migration" id="add unique index builtin_role_name back"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.065609089Z level=info msg="Migration successfully executed" id="add unique index builtin_role_name back" duration=289µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.066312756Z level=info msg="Executing migration" id="add unique index builtin_role_action_scope"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.066618006Z level=info msg="Migration successfully executed" id="add unique index builtin_role_action_scope" duration=305.208µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.067368214Z level=info msg="Executing migration" id="add primary key to seed_assigment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.073863589Z level=info msg="Migration successfully executed" id="add primary key to seed_assigment" duration=6.495208ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.074608131Z level=info msg="Executing migration" id="add origin column to seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.076595923Z level=info msg="Migration successfully executed" id="add origin column to seed_assignment" duration=1.987791ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077192131Z level=info msg="Executing migration" id="add origin to plugin seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077250423Z level=info msg="Migration successfully executed" id="add origin to plugin seed_assignment" duration=58.417µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077845298Z level=info msg="Executing migration" id="prevent seeding OnCall access"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077881131Z level=info msg="Migration successfully executed" id="prevent seeding OnCall access" duration=36µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078321423Z level=info msg="Executing migration" id="managed folder permissions alert actions repeated fixed migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078359798Z level=info msg="Migration successfully executed" id="managed folder permissions alert actions repeated fixed migration" duration=38.459µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078944256Z level=info msg="Executing migration" id="managed folder permissions library panel actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078978006Z level=info msg="Migration successfully executed" id="managed folder permissions library panel actions migration" duration=33.917µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.079415839Z level=info msg="Executing migration" id="migrate external alertmanagers to datsourcse"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.079452506Z level=info msg="Migration successfully executed" id="migrate external alertmanagers to datsourcse" duration=36.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.080041673Z level=info msg="Executing migration" id="create folder table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.080253089Z level=info msg="Migration successfully executed" id="create folder table" duration=211.666µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.080933298Z level=info msg="Executing migration" id="Add index for parent_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.081204506Z level=info msg="Migration successfully executed" id="Add index for parent_uid" duration=271.209µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.081890548Z level=info msg="Executing migration" id="Add unique index for folder.uid and folder.org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.082148756Z level=info msg="Migration successfully executed" id="Add unique index for folder.uid and folder.org_id" duration=258.209µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.082796798Z level=info msg="Executing migration" id="Update folder title length"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.082804214Z level=info msg="Migration successfully executed" id="Update folder title length" duration=7.5µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.083382673Z level=info msg="Executing migration" id="Add unique index for folder.title and folder.parent_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.083648923Z level=info msg="Migration successfully executed" id="Add unique index for folder.title and folder.parent_uid" duration=266.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.084332589Z level=info msg="Executing migration" id="Remove unique index for folder.title and folder.parent_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.084600798Z level=info msg="Migration successfully executed" id="Remove unique index for folder.title and folder.parent_uid" duration=268.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.085200131Z level=info msg="Executing migration" id="Add unique index for title, parent_uid, and org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.085452506Z level=info msg="Migration successfully executed" id="Add unique index for title, parent_uid, and org_id" duration=252.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.086067506Z level=info msg="Executing migration" id="Sync dashboard and folder table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.086160714Z level=info msg="Migration successfully executed" id="Sync dashboard and folder table" duration=93.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.086599506Z level=info msg="Executing migration" id="Remove ghost folders from the folder table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.086654339Z level=info msg="Migration successfully executed" id="Remove ghost folders from the folder table" duration=54.958µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.087265548Z level=info msg="Executing migration" id="Remove unique index UQE_folder_uid_org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.087532756Z level=info msg="Migration successfully executed" id="Remove unique index UQE_folder_uid_org_id" duration=267.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.088149423Z level=info msg="Executing migration" id="Add unique index UQE_folder_org_id_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.088408173Z level=info msg="Migration successfully executed" id="Add unique index UQE_folder_org_id_uid" duration=258.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.089007548Z level=info msg="Executing migration" id="Remove unique index UQE_folder_title_parent_uid_org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.089258631Z level=info msg="Migration successfully executed" id="Remove unique index UQE_folder_title_parent_uid_org_id" duration=251.125µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.089844714Z level=info msg="Executing migration" id="Add unique index UQE_folder_org_id_parent_uid_title"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.090097964Z level=info msg="Migration successfully executed" id="Add unique index UQE_folder_org_id_parent_uid_title" duration=253.334µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.090586756Z level=info msg="Executing migration" id="Remove index IDX_folder_parent_uid_org_id"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.090849589Z level=info msg="Migration successfully executed" id="Remove index IDX_folder_parent_uid_org_id" duration=262.958µs
